"Record ID","Campaign name","Campaign owner","Created on","Campaign budget","Campaign notes","Campaign start date","Campaign end date"
"404340267644","Stars Social","Pierre Corbucci","2025-02-13 13:59","","","",""
"378882390800","Stars HR","","2024-10-31 11:06","","","",""
"373400606770","Robb Report","","2024-10-15 10:41","","Actions associées aux leads obtenus via le magazine Robb Report Monaco Côte d'Azur","",""
"371651042127","Stars Events","","2024-10-08 16:40","","","",""
"369350707023","Midi Pneu","","2024-09-30 09:25","","","",""
"335160641453","Yachting General","Pierre Corbucci","2024-06-04 10:43","","","",""
"314200582318","Stars Yachting - Ice","Jonathan Cecotto","2024-03-22 14:37","","","",""
"299002954543","Dallara Test Drive - Prospects","Pierre Corbucci","2024-02-13 09:43","","","",""
"296546114360","Stars Yachting charter - Ultimate Lady","","2024-02-05 17:08","","","",""
"293216223907","Stars Yachting sales - Azul V","Jonathan Cecotto","2024-01-24 15:28","","","",""
"285130116703","Real Estate - L'Exotique","","2023-12-20 16:30","","","",""
"280885937958","Stars Yachting Sales - Pershing","Pierre Corbucci","2023-12-05 17:20","","","",""
"277965209263","StarsMC-Offers","Pierre Corbucci","2023-11-23 17:18","","","",""
"275200202831","Stars Yachting Anvera","Pierre Corbucci","2023-11-13 14:08","","","",""
"268997679722","Stars Yachting Charter","Jonathan Cecotto","2023-10-19 15:31","","","",""
"266692714828","Dallara Stradale","","2023-10-11 15:24","","","",""
"257783862562","Stars Yachting - Yacht Shows 2023","Johnny Cecotto","2023-09-06 12:25","","","",""
"255450586129","Stars Yachting - Belassi","Jonathan Cecotto","2023-08-30 12:20","","","2023-08-30 00:00",""
"248004865100","Stars Aviation","","2023-08-02 16:35","","","",""
"238796830052","Stars Remarketing Global","Pierre Corbucci","2023-06-26 12:21","","","",""
"238771941473","Stars MC remarketing","Pierre Corbucci","2023-06-26 09:23","","","2023-06-26 00:00",""
"235851813491","Group Newsletter","Pierre Corbucci","2023-06-14 09:21","","","",""
"228651702343","Real Estate Newsletters","Sarah Rosso","2023-05-11 10:52","","","",""
"223709670982","Stars Yachting","","2023-04-18 15:31","","","",""
"223494458686","Le Pneu-Generique","Pierre Corbucci","2023-04-17 17:31","","","",""
"218902911919","Top Marques","","2023-03-30 11:35","","","",""
"215443307308","Réparation de jantes","Pierre Corbucci","2023-03-20 09:35","","","2023-03-20 00:00","2023-03-31 00:00"
"214458015882","Open Track 27 mars","Pierre Corbucci","2023-03-16 17:34","","","2023-03-17 00:00","2023-03-27 00:00"
"214015487814","XPEL Test Pierre","Pierre Corbucci","2023-03-15 14:38","","","2023-03-18 00:00","2023-04-18 00:00"
"207723247372","Rim Repair","Johnny Cecotto","2023-02-22 21:31","500.0","","2023-02-22 00:00","2023-03-22 00:00"
"207360371070","Xpel window tint","Johnny Cecotto","2023-02-21 23:57","","","",""
"118797960508","LEADS INSTAGRAM","","2022-04-11 10:19","","","",""
"69947134629","Events","ALICE TEYSSAIRE (Deactivated User)","2021-09-01 17:01","","","",""
"64154009244","Dark Ads","","2021-08-03 11:43","","","",""
"63193297254","flyers","","2021-07-26 18:24","","","",""
"61703490486","carte de visite","","2021-07-14 10:43","","","",""
"57415898910","Totem","ALICE TEYSSAIRE (Deactivated User)","2021-06-14 17:03","","","",""
"52709433958","Véhicules Small","","2021-05-17 15:25","","","",""
"52629328514","Vehicules Prestiges","","2021-05-17 09:30","","","",""
"40408724340","Social Media","Melodie Pechberty (Deactivated User)","2021-03-24 17:13","","","",""
"39916558150","trackdays","Johnny Cecotto","2021-03-22 14:21","","","",""
"36523985814","re-engage","Johnny Cecotto","2021-03-04 16:55","","","",""
"36244926072","Porsche et Ferrari Fevrier 2021","Melodie Pechberty (Deactivated User)","2021-03-01 18:06","","","",""
"36243325008","Concours Top Marques","Melodie Pechberty (Deactivated User)","2021-03-01 17:33","","","",""
